concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
Banque Epreuves Ccinp	Ecole De L'Air Méca	512	25.4	26.4				83	22.9	54.2	4	25.0	100.0	47	44	4
Banque Epreuves Ccinp	Ecole De L'Air Pilote	595	24.9	23.9				109	18.3	42.2	13	15.4	53.8	27	27	13
Banque Epreuves Ccinp	Enac Toulouse - Contrôleurs Aériens	850	32.4	22.2				134	41.8	23.9	23	34.8	34.8	38	35	23
Banque Epreuves Ccinp	Ensisa Mulhouse Automatique Et Systèmes Embarqués										4	25.0	25.0	451	447	4
Banque Epreuves Ccinp	Ensisa Mulhouse Informatique Et Réseaux										4	0.0	50.0	444	447	4
Banque Epreuves Ccinp	Ensisa Mulhouse Mécanique										4	25.0	50.0	360	335	5
Banque Epreuves Ccinp	Ensisa Mulhouse Textile Et Fibres										9	66.7	22.2	547	534	9
Banque Epreuves Ccinp	Concours_Ensisa_Pc	790	43.7	18.6				693	44.3	19.5	21					22
Banque Epreuves Ccinp	Eost Strasbourg	580	48.1	17.8				486	48.8	18.3	12	50.0	41.7	280	269	13
Banque Epreuves Ccinp	Escom Chimie Compiègne	1343	52.0	17.1				607	51.4	18.5	4	50.0	75.0	526	506	20
Banque Epreuves Ccinp	Esm Saint-Cyr	565	19.6	24.6				75	8.0	53.3	13	0.0	53.8	23	21	13
Banque Epreuves Ccinp	Itech Lyon	909	55.6	19.4				700	57.1	22.0	42	66.7	45.2	561	530	45
Banque Epreuves Ccinp	Lorraine Inp - Enstib	447	40.9	17.4				312	42.6	17.6	6	16.7	16.7	213	220	6
Concours Polytech Inter-Filière	Ensibs Lorient										3	0.0	0.0	3683	3829	16
Concours Polytech Inter-Filière	Ensim Le Mans										5	40.0	0.0	3935	3901	10
Concours Polytech Inter-Filière	Esbs Strasbourg										2	100.0	0.0	1347	1236	3
Concours Polytech Inter-Filière	Esgt Le Mans										0	0.0	0.0	3604	3539	15
Concours Polytech Inter-Filière	Esi Reims - Energetique										3	33.3	33.3	4594	4463	5
Concours Polytech Inter-Filière	Esi Reims - Génie Urbain Et Environnement										2	50.0	0.0	3093	3036	4
Concours Polytech Inter-Filière	Esi Reims - Packaging										2	100.0	0.0	4816	4667	6
Concours Polytech Inter-Filière	Esiab Brest										4	100.0	0.0	4439	4436	4
Concours Polytech Inter-Filière	Esipe Créteil - Génie Biomédical Et Santé (Isbs)										4	50.0	25.0	4596	4059	10
Concours Polytech Inter-Filière	Esipe Créteil - Système D'Information										0	0.0	0.0	3733	3807	3
Concours Polytech Inter-Filière	Esipe Créteil - Technologie Pour La Santé										0	0.0	0.0	3723	3724	3
Concours Polytech Inter-Filière	Esir Rennes										7	42.9	28.6	3835	3540	20
Concours Polytech Inter-Filière	Esirem Dijon										4	25.0	0.0	3293	3102	5
Concours Polytech Inter-Filière	Esiroi Saint Denis De La Réunion										0	0.0	0.0	0	0	3
Concours Polytech Inter-Filière	Esix Normandie - Caen - Cherbourg										0	0.0	0.0	4379	4116	4
Concours Polytech Inter-Filière	Isat Nevers - Département Mit (Mécanique Et Ingénierie Des Transports)										0	0.0	0.0	2228	2054	5
Concours Polytech Inter-Filière	Isat Nevers - Département Epee (Energies Et Moteurs)										3	0.0	33.3	3229	3326	12
Concours Polytech Inter-Filière	Isat Nevers - Infrastructures Et Réseaux De Transports										1	0.0	0.0	4695	4575	4
Concours Polytech Inter-Filière	Isifc Besanã§On - Génie Biomédical										4	100.0	25.0	3083	2762	8
Concours Polytech Inter-Filière	Isty Vélizy										0	0.0	0.0	4192	4125	3
Concours Polytech Inter-Filière	Polytech Angers Bâtiment : Exploitation, Maintenance Et Sécurité										0	0.0	0.0	4963	4963	2
Concours Polytech Inter-Filière	Polytech Angers Qualité Innovation Fiabilité										1	100.0	0.0	2659	2659	2
Concours Polytech Inter-Filière	Polytech Angers Systèmes Automatisés Et Génie Informatique										0	0.0	0.0	3532	3452	4
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Environnement, Bâtiment, Ã‰Nergie										5	80.0	0.0	4323	3919	19
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Informatique Données Usages										1	0.0	0.0	4055	3894	4
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Instrumentation, Automatique, Informatique										0	0.0	0.0	3361	3495	4
Concours Polytech Inter-Filière	Polytech Annecy-Chambéry - Mécanique, Matériaux										2	0.0	0.0	4059	3896	8
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Biologique										5	100.0	60.0	2712	3034	5
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Civil										2	0.0	0.0	3573	3434	16
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Electrique										1	0.0	0.0	4380	4479	5
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Mathématique Et Modélisation										3	0.0	66.7	3523	3220	14
Concours Polytech Inter-Filière	Polytech Clermont-Ferrand - Génie Physique										3	0.0	66.7	4718	4489	8
Concours Polytech Inter-Filière	Polytech Grenoble - Géotechnique Et Génie Civil										1	0.0	0.0	2850	2655	6
Concours Polytech Inter-Filière	Polytech Grenoble - Matériaux										2	50.0	0.0	3914	3594	6
Concours Polytech Inter-Filière	Polytech Grenoble - Prévention Des Risques										1	100.0	100.0	4540	4324	6
Concours Polytech Inter-Filière	Polytech Grenoble - Informatique										1	0.0	100.0	2728	2592	8
Concours Polytech Inter-Filière	Polytech Grenoble - Informatique Et Électronique Des Systèmes Embarqués										0	0.0	0.0	2276	2073	5
Concours Polytech Inter-Filière	Polytech Grenoble - Technologies De L'Information Pour La Santé										1	100.0	0.0	4084	3724	6
Concours Polytech Inter-Filière	Polytech Lille - Génie Biologique Et Alimentaire										5	100.0	80.0	2701	2832	4
Concours Polytech Inter-Filière	Polytech Lille - Génie Informatique Et Statistique										3	66.7	0.0	3448	3323	10
Concours Polytech Inter-Filière	Polytech Lille - Géotechnique, Génie Civil										1	0.0	0.0	3161	2919	10
Concours Polytech Inter-Filière	Polytech Lille - Informatique, Microélectronique, Automatique										0	0.0	0.0	3152	3102	6
Concours Polytech Inter-Filière	Polytech Lille - Ingénierie Et Commercialisation Des Systèmes De Mesure										1	0.0	100.0	4698	4625	5
Concours Polytech Inter-Filière	Polytech Lille - Matériaux										4	25.0	25.0	3490	3356	8
Concours Polytech Inter-Filière	Polytech Lille - Mécanique										2	0.0	50.0	3055	2882	10
Concours Polytech Inter-Filière	Polytech Lyon - Génie Biomédical										3	100.0	0.0	2771	2910	4
Concours Polytech Inter-Filière	Polytech Lyon - Informatique										0	0.0	0.0	1334	1421	4
Concours Polytech Inter-Filière	Polytech Lyon - Matériaux										1	100.0	0.0	3576	3528	4
Concours Polytech Inter-Filière	Polytech Lyon - Mathématiques Appliquées Et Modélisation										1	0.0	0.0	2939	2575	4
Concours Polytech Inter-Filière	Polytech Lyon - Mécanique										1	100.0	100.0	2110	1925	4
Concours Polytech Inter-Filière	Polytech Lyon - Systèmes Industriels, Robotique										1	0.0	100.0	3336	3168	4
Concours Polytech Inter-Filière	Polytech Marseille - Génie Biomédical										4	100.0	25.0	3998	3326	9
Concours Polytech Inter-Filière	Polytech Marseille - Génie Civil										0	0.0	0.0	4499	4376	12
Concours Polytech Inter-Filière	Polytech Marseille - Génie Industriel Et Informatique										0	0.0	0.0	3906	3831	8
Concours Polytech Inter-Filière	Polytech Marseille - Informatique										1	0.0	0.0	2930	2959	8
Concours Polytech Inter-Filière	Polytech Marseille - Matériaux										4	0.0	25.0	4867	4780	11
Concours Polytech Inter-Filière	Polytech Marseille - Mécanique, Energétique										1	0.0	0.0	4213	3973	17
Concours Polytech Inter-Filière	Polytech Marseille - Microélectronique,Télécommunications										0	0.0	0.0	4387	4341	8
Concours Polytech Inter-Filière	Polytech Montpellier - Informatique Et Gestion										0	0.0	0.0	3088	3009	3
Concours Polytech Inter-Filière	Polytech Montpellier - Matériaux										5	0.0	60.0	3675	3488	7
Concours Polytech Inter-Filière	Polytech Montpellier - Mécanique Et Interactions										1	0.0	0.0	2027	2027	2
Concours Polytech Inter-Filière	Polytech Montpellier - Microélectronique Et Automatique										1	0.0	0.0	3892	3665	5
Concours Polytech Inter-Filière	Polytech Montpellier - Sciences Et Technologies De L'Eau										4	75.0	50.0	4147	4088	7
Concours Polytech Inter-Filière	Polytech Montpellier Génie Biologique Et Agroalimentaire										5	40.0	40.0	3403	3293	5
Concours Polytech Inter-Filière	Polytech Nancy - Energie, Mécanique, Matériaux, Environnement										5	20.0	40.0	4358	3944	16
Concours Polytech Inter-Filière	Polytech Nancy - Ingénierie De L'Information Et Des Systèmes										0	0.0	0.0	3768	3706	8
Concours Polytech Inter-Filière	Polytech Nancy - Management Opérationnel, Maintenance, Maã®Trise Des Risques										0	0.0	0.0	4887	4821	6
