concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_polytech_inter_filière	polytech_marseille_génie_civil										6	0.0	50.0	3795*	3436*	12*	
concours_polytech_inter_filière	polytech_marseille_génie_industriel_et_informatique										5	40.0	0.0	3979*	3762*	8*	
concours_polytech_inter_filière	polytech_marseille_informatique										5	20.0	20.0	3491*	3253*	8*	
concours_polytech_inter_filière	polytech_marseille_matériaux										2	50.0	100.0	4173*	4086*	10*	
concours_polytech_inter_filière	polytech_marseille_mécanique,_energétique										0	0.0	0.0	3603*	3370*	16*	
concours_polytech_inter_filière	polytech_marseille_microélectronique,télécommunications										4	25.0	25.0	4279*	3954*	8*	
concours_polytech_inter_filière	polytech_montpellier_informatique_et_gestion										1	0.0	0.0	3158*	3186*	3*	
concours_polytech_inter_filière	polytech_montpellier_matériaux										2	0.0	0.0	2698*	2745*	7*	
concours_polytech_inter_filière	polytech_montpellier_mécanique_et_interactions										0	0.0	0.0	1785*	1785*	2*	
concours_polytech_inter_filière	polytech_montpellier_microélectronique_et_automatique										3	0.0	0.0	2589*	2479*	5*	
concours_polytech_inter_filière	polytech_montpellier_sciences_et_technologies_de_l'eau										2	50.0	0.0	2501*	2125*	7*	
concours_polytech_inter_filière	polytech_montpellier_génie_biologique_et_agroalimentaire										0	0.0	0.0	2763*	2753*	5*	
concours_polytech_inter_filière	polytech_nancy_energie,_mécanique,_matériaux,_environnement										5	60.0	40.0	3117*	2896*	14*	
concours_polytech_inter_filière	polytech_nancy_ingénierie_de_l'information_et_des_systèmes										6	33.3	0.0	3264*	3066*	4*	
concours_polytech_inter_filière	polytech_nancy_management_opérationnel,_maintenance,_maã®trise_des risques										2	50.0	0.0	3266*	3157*	4*	
concours_polytech_inter_filière	polytech_nantes_ã‰lectronique_et_technologies_numériques										6	16.7	16.7	3140*	2983*	8*	
concours_polytech_inter_filière	polytech_nantes_ã‰nergie_électrique										1	0.0	0.0	4216*	3959*	4*	
concours_polytech_inter_filière	polytech_nantes_génie_civil										2	0.0	50.0	2373*	2605*	4*	
concours_polytech_inter_filière	polytech_nantes_génie_des_procédés_et_bioprocédés										0	0.0	0.0	2213*	2213*	2*	
concours_polytech_inter_filière	polytech_nantes_informatique										3	0.0	0.0	1345*	1412*	9*	
concours_polytech_inter_filière	polytech_nantes_matériaux										2	50.0	0.0	3226*	3225*	8*	
concours_polytech_inter_filière	polytech_nantes_thermique,_ã‰nergétique										4	50.0	0.0	3242*	2971*	7*	
concours_polytech_inter_filière	polytech_nice_sophia_bâtiments										3	100.0	0.0	4130*	3590*	12*	
concours_polytech_inter_filière	polytech_nice_sophia_ã‰lectronique										4	25.0	25.0	3932*	3641*	10*	
concours_polytech_inter_filière	polytech_nice_sophia_génie_biologique										0	0.0	0.0	1782*	1557*	3*	
concours_polytech_inter_filière	polytech_nice_sophia_génie_de_l'eau										3	66.7	33.3	3227*	2951*	10*	
concours_polytech_inter_filière	polytech_nice_sophia_informatique										12	33.3	16.7	1886*	2166*	14*	
concours_polytech_inter_filière	polytech_nice_sophia_mathématiques_appliquées,_modélisation										11	18.2	9.1	3119*	2943*	15*	
concours_polytech_inter_filière	polytech_orléans_génie_civil_et_géo_environnement										4	0.0	0.0	4002*	3835*	14*	
concours_polytech_inter_filière	polytech_orléans_génie_industriel										4	50.0	25.0	3790*	3759*	12*	
concours_polytech_inter_filière	polytech_orléans_innovation_en_conception_et_matériaux										1	0.0	0.0	4186*	4108*	8*	
concours_polytech_inter_filière	polytech_orléans_technologies_pour_l'ã‰nergie,_l'aérospatial_et_la motorisation										5	20.0	0.0	1927*	1835*	14*	
concours_polytech_inter_filière	polytech_orléans_génie_physique_et_systèmes_embarqués										2	50.0	0.0	3672*	3633*	6*	
concours_polytech_inter_filière	polytech_paris_sud_electronique,_energie,_systèmes										1	0.0	0.0	3463*	3477*	6*	
concours_polytech_inter_filière	polytech_paris_sud_informatique										1	0.0	0.0	1356*	1356*	2*	
concours_polytech_inter_filière	polytech_paris_sud_photonique_et_systèmes_optroniques										4	0.0	25.0	4047*	3541*	5*	
concours_polytech_inter_filière	polytech_paris_sud_matériaux										0	0.0	0.0	3325*	3325*	4*	
concours_polytech_inter_filière	polytech_sorbonne_electronique_et_informatique										3	0.0	0.0	1939*	1925*	3*	
concours_polytech_inter_filière	polytech_sorbonne_mathématiques_appliquées_et_informatique										2	100.0	100.0	2107*	2109*	3*	
concours_polytech_inter_filière	polytech_sorbonne_matériaux										1	100.0	0.0	2442*	2554*	8*	
concours_polytech_inter_filière	polytech_sorbonne_robotique										1	0.0	0.0	1916*	1651*	5*	
concours_polytech_inter_filière	polytech_sorbonne_sciences_de_la_terre										1	100.0	100.0	4004*	3508*	10*	
concours_polytech_inter_filière	polytech_tours_ã‰lectronique,_ã‰nergie_électrique										1	0.0	0.0	4077*	3294*	2*	
concours_polytech_inter_filière	polytech_tours_génie_de_l'aménagement_et_de_l'environnement										2	100.0	50.0	1566*	1416*	7*	
concours_polytech_inter_filière	polytech_tours_informatique										7	28.6	42.9	2863*	2624*	7*	
concours_polytech_inter_filière	polytech_tours_mécanique,_conception_de_systèmes										4	0.0	25.0	3650*	3610*	5*	
concours_polytech_inter_filière	sup_galilée_villetaneuse										12	0.0	33.3	3707	3492	20*	
concours_polytech_inter_filière	Concours POLYTECH MP - PC - PSI	2571	30.4	19.8	1715	30.0	15.7	1441	30.0	17.3	280					703	
autres_écoles_e3a	ece_paris	739	33.6	14.3	588	33.5	13.6	224	33.9	17.4	38	31.6	10.5	162	157	40	
autres_écoles_e3a	efrei_paris	737	31.5	18.0	632	31.0	16.1	178	29.2	20.8	30	26.7	20.0	126	115	40	
autres_écoles_e3a	eidd_paris	516	35.7	18.8	358	38.5	16.2	245	41.2	16.3	14	42.9	14.3	163	151	15	
