ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Polytech_Angers_Qualité_Innovation_Fiabilité										1	0.0	0.0	2659*	2659*	2*	
Polytech_Angers_Systèmes_Automatisés_et_Génie_Informatique										1	0.0	100.0	3532*	3452*	4*	
Polytech_Annecy-Chambéry_-__Environnement,_Bâtiment,_Ã‰nergie										5	20.0	0.0	4323*	3919*	19*	
Polytech_Annecy-Chambéry_-__Informatique_données_Usages										0	0.0	0.0	4055*	3894*	4*	
Polytech_Annecy-Chambéry_-__Instrumentation,_Automatique,_Informatique										0	0.0	0.0	3361*	3495*	4*	
Polytech_Annecy-Chambéry_-_Mécanique,_Matériaux										5	0.0	0.0	4059*	3896*	8*	
Polytech_Clermont-Ferrand__-_Génie_Biologique										0	0.0	0.0	2712*	3034*	5*	
Polytech_Clermont-Ferrand__-_Génie_Civil										4	0.0	50.0	3573*	3434*	16*	
Polytech_Clermont-Ferrand__-_Génie_Electrique										4	0.0	25.0	4380*	4479*	5*	
Polytech_Clermont-Ferrand__-_Génie_Mathématique_et_Modélisation										5	20.0	20.0	3523*	3220*	14*	
Polytech_Clermont-Ferrand__-_Génie_Physique										4	25.0	0.0	4718*	4489*	8*	
Polytech_Grenoble__-__Géotechnique_et_génie_civil										1	0.0	0.0	2850*	2655*	6*	
Polytech_Grenoble__-__Matériaux										3	0.0	0.0	3914*	3594*	6*	
Polytech_Grenoble__-__Prévention_des_risques										3	0.0	0.0	4540*	4324*	6*	
Polytech_Grenoble__-_Informatique										2	0.0	0.0	2728*	2592*	8*	
Polytech_Grenoble__-_Informatique_et_électronique_des_systèmes_embarqués										0	0.0	0.0	2276*	2073*	5*	
Polytech_Grenoble__-_Technologies_de_l'information_pour_la_santé										3	33.3	0.0	4084*	3724*	6*	
Polytech_Lille__-_Génie_biologique_et_alimentaire										0	0.0	0.0	2701*	2832*	4*	
Polytech_Lille__-_Génie_Informatique_et_statistique										2	0.0	0.0	3448*	3323*	10*	
Polytech_Lille__-_Géotechnique,_Génie_civil										2	0.0	0.0	3161*	2919*	10*	
Polytech_Lille__-_Informatique,_Microélectronique,_Automatique										1	0.0	0.0	3152*	3102*	6*	
Polytech_Lille__-_Ingénierie_et_commercialisation_des_systèmes_de_mesure										0	0.0	0.0	4698*	4625*	5*	
Polytech_Lille__-_Matériaux										1	0.0	0.0	3490*	3356*	8*	
Polytech_Lille__-_Mécanique										4	0.0	0.0	3055*	2882*	10*	
Polytech_Lyon__-_Génie_Biomédical										0	0.0	0.0	2771*	2910*	4*	
Polytech_Lyon__-_Informatique										2	0.0	50.0	1334*	1421*	4*	
Polytech_Lyon__-_Matériaux										0	0.0	0.0	3576*	3528*	4*	
Polytech_Lyon__-_Mathématiques_Appliquées_et_Modélisation										0	0.0	0.0	2939*	2575*	4*	
Polytech_Lyon__-_Mécanique										1	0.0	0.0	2110*	1925*	4*	
Polytech_Lyon__-_Systèmes_industriels,_Robotique										1	0.0	0.0	3336*	3168*	4*	
Polytech_Marseille__-_Génie_Biomédical										1	0.0	0.0	3998*	3326*	9*	
Polytech_Marseille__-_Génie_Civil										1	0.0	0.0	4499*	4376*	12*	
Polytech_Marseille__-_Génie_Industriel_et_Informatique										2	50.0	0.0	3906*	3831*	8*	
Polytech_Marseille__-_Informatique										0	0.0	0.0	2930*	2959*	8*	
Polytech_Marseille__-_Matériaux										4	25.0	50.0	4867*	4780*	11*	
Polytech_Marseille__-_Mécanique,_Energétique										10	20.0	20.0	4213*	3973*	17*	
Polytech_Marseille__-_Microélectronique,Télécommunications										1	0.0	0.0	4387*	4341*	8*	
Polytech_Montpellier_-_Informatique_et_Gestion										3	0.0	33.3	3088*	3009*	3*	
Polytech_Montpellier_-_Matériaux										1	0.0	0.0	3675*	3488*	7*	
