concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
banque_epreuves_ccinp	enac_toulouse_contrã´leurs_aériens	850	32.4	22.2				134	41.8	23.9	23	34.8	34.8	38	35	23	
banque_epreuves_ccinp	ensisa_mulhouse_automatique_et_systèmes_embarqués										4	25.0	25.0	451	447	4	
banque_epreuves_ccinp	ensisa_mulhouse_informatique_et_réseaux										4	0.0	50.0	444	447	4	
banque_epreuves_ccinp	ensisa_mulhouse_mécanique										4	25.0	50.0	360	335	5	
banque_epreuves_ccinp	ensisa_mulhouse_textile_et_fibres										9	66.7	22.2	547	534	9	
banque_epreuves_ccinp	Concours ENSISA PC	790	43.7	18.6				693	44.3	19.5	21					22	
banque_epreuves_ccinp	eost_strasbourg	580	48.1	17.8				486	48.8	18.3	12	50.0	41.7	280	269	13	
banque_epreuves_ccinp	escom_chimie_compiègne	1343	52.0	17.1				607	51.4	18.5	4	50.0	75.0	526	506	20	
banque_epreuves_ccinp	esm_saint_cyr	565	19.6	24.6				75	8.0	53.3	13	0.0	53.8	23	21	13	
banque_epreuves_ccinp	itech_lyon	909	55.6	19.4				700	57.1	22.0	42	66.7	45.2	561	530	45	
banque_epreuves_ccinp	lorraine_inp_enstib	447	40.9	17.4				312	42.6	17.6	6	16.7	16.7	213	220	6	
concours_polytech_inter_filière	ensibs_lorient										3	0.0	0.0	3683	3829	16	
concours_polytech_inter_filière	ensim_le_mans										5	40.0	0.0	3935	3901	10	
concours_polytech_inter_filière	esbs_strasbourg										2	100.0	0.0	1347	1236	3	
concours_polytech_inter_filière	esgt_le_mans										0	0.0	0.0	3604	3539	15	
concours_polytech_inter_filière	esi_reims_energetique										3	33.3	33.3	4594	4463	5	
concours_polytech_inter_filière	esi_reims_génie_urbain_et_environnement										2	50.0	0.0	3093	3036	4	
concours_polytech_inter_filière	esi_reims_packaging										2	100.0	0.0	4816	4667	6	
concours_polytech_inter_filière	esiab_brest										4	100.0	0.0	4439	4436	4	
concours_polytech_inter_filière	esipe_créteil_génie_biomédical_et_santé_(isbs)										4	50.0	25.0	4596	4059	10	
concours_polytech_inter_filière	esipe_créteil_système_d'information										0	0.0	0.0	3733	3807	3	
concours_polytech_inter_filière	esipe_créteil_technologie_pour_la_santé										0	0.0	0.0	3723	3724	3	
concours_polytech_inter_filière	esir_rennes										7	42.9	28.6	3835	3540	20	
concours_polytech_inter_filière	esirem_dijon										4	25.0	0.0	3293	3102	5	
concours_polytech_inter_filière	esiroi_saint_denis_de_la_réunion										0	0.0	0.0	0	0	3	
concours_polytech_inter_filière	esix_normandie_caen_cherbourg										0	0.0	0.0	4379	4116	4	
concours_polytech_inter_filière	isat_nevers_département_mit_(mécanique_et_ingénierie_des_transports)										0	0.0	0.0	2228	2054	5	
concours_polytech_inter_filière	isat_nevers_département_epee_(energies_et_moteurs)										3	0.0	33.3	3229	3326	12	
concours_polytech_inter_filière	isat_nevers_infrastructures_et_réseaux_de_transports										1	0.0	0.0	4695	4575	4	
concours_polytech_inter_filière	isifc_besanã§on_génie_biomédical										4	100.0	25.0	3083	2762	8	
concours_polytech_inter_filière	isty_vélizy										0	0.0	0.0	4192	4125	3	
concours_polytech_inter_filière	polytech_angers_bâtiment_:_exploitation,_maintenance_et_sécurité										0	0.0	0.0	4963	4963	2	
concours_polytech_inter_filière	polytech_angers_qualité_innovation_fiabilité										1	100.0	0.0	2659	2659	2	
concours_polytech_inter_filière	polytech_angers_systèmes_automatisés_et_génie_informatique										0	0.0	0.0	3532	3452	4	
concours_polytech_inter_filière	polytech_annecy_chambéry_environnement,_bâtiment,_ã‰nergie										5	80.0	0.0	4323	3919	19	
concours_polytech_inter_filière	polytech_annecy_chambéry_informatique_données_usages										1	0.0	0.0	4055	3894	4	
concours_polytech_inter_filière	polytech_annecy_chambéry_instrumentation,_automatique,_informatique										0	0.0	0.0	3361	3495	4	
concours_polytech_inter_filière	polytech_annecy_chambéry_mécanique,_matériaux										2	0.0	0.0	4059	3896	8	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_biologique										5	100.0	60.0	2712	3034	5	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_civil										2	0.0	0.0	3573	3434	16	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_electrique										1	0.0	0.0	4380	4479	5	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_mathématique_et_modélisation										3	0.0	66.7	3523	3220	14	
concours_polytech_inter_filière	polytech_clermont_ferrand_génie_physique										3	0.0	66.7	4718	4489	8	
concours_polytech_inter_filière	polytech_grenoble__géotechnique_et_génie_civil										1	0.0	0.0	2850	2655	6	
concours_polytech_inter_filière	polytech_grenoble__matériaux										2	50.0	0.0	3914	3594	6	
concours_polytech_inter_filière	polytech_grenoble__prévention_des_risques										1	100.0	100.0	4540	4324	6	
concours_polytech_inter_filière	polytech_grenoble_informatique										1	0.0	100.0	2728	2592	8	
concours_polytech_inter_filière	polytech_grenoble_informatique_et_électronique_des_systèmes_embarqués										0	0.0	0.0	2276	2073	5	
concours_polytech_inter_filière	polytech_grenoble_technologies_de_l'information_pour_la_santé										1	100.0	0.0	4084	3724	6	
concours_polytech_inter_filière	polytech_lille_génie_biologique_et_alimentaire										5	100.0	80.0	2701	2832	4	
concours_polytech_inter_filière	polytech_lille_génie_informatique_et_statistique										3	66.7	0.0	3448	3323	10	
concours_polytech_inter_filière	polytech_lille_géotechnique,_génie_civil										1	0.0	0.0	3161	2919	10	
concours_polytech_inter_filière	polytech_lille_informatique,_microélectronique,_automatique										0	0.0	0.0	3152	3102	6	
concours_polytech_inter_filière	polytech_lille_ingénierie_et_commercialisation_des_systèmes_de_mesure										1	0.0	100.0	4698	4625	5	
concours_polytech_inter_filière	polytech_lille_matériaux										4	25.0	25.0	3490	3356	8	
concours_polytech_inter_filière	polytech_lille_mécanique										2	0.0	50.0	3055	2882	10	
concours_polytech_inter_filière	polytech_lyon_génie_biomédical										3	100.0	0.0	2771	2910	4	
concours_polytech_inter_filière	polytech_lyon_informatique										0	0.0	0.0	1334	1421	4	
concours_polytech_inter_filière	polytech_lyon_matériaux										1	100.0	0.0	3576	3528	4	
concours_polytech_inter_filière	polytech_lyon_mathématiques_appliquées_et_modélisation										1	0.0	0.0	2939	2575	4	
concours_polytech_inter_filière	polytech_lyon_mécanique										1	100.0	100.0	2110	1925	4	
concours_polytech_inter_filière	polytech_lyon_systèmes_industriels,_robotique										1	0.0	100.0	3336	3168	4	
concours_polytech_inter_filière	polytech_marseille_génie_biomédical										4	100.0	25.0	3998	3326	9	
concours_polytech_inter_filière	polytech_marseille_génie_civil										0	0.0	0.0	4499	4376	12	
concours_polytech_inter_filière	polytech_marseille_génie_industriel_et_informatique										0	0.0	0.0	3906	3831	8	
concours_polytech_inter_filière	polytech_marseille_informatique										1	0.0	0.0	2930	2959	8	
concours_polytech_inter_filière	polytech_marseille_matériaux										4	0.0	25.0	4867	4780	11	
concours_polytech_inter_filière	polytech_marseille_mécanique,_energétique										1	0.0	0.0	4213	3973	17	
